domain,"domain_type","domain_wc","match_depth","sort_order"
"s3-accesspoint.dualstack.ap-southeast-4.amazonaws.com",PRIVATE,"*.s3-accesspoint.dualstack.ap-southeast-4.amazonaws.com",6,4
"s3-accesspoint.dualstack.ap-southeast-4.amazonaws.com",PRIVATE,"s3-accesspoint.dualstack.ap-southeast-4.amazonaws.com",6,4
"s3-website.dualstack.ap-southeast-4.amazonaws.com",PRIVATE,"*.s3-website.dualstack.ap-southeast-4.amazonaws.com",6,4
"s3-website.dualstack.ap-southeast-4.amazonaws.com",PRIVATE,"s3-website.dualstack.ap-southeast-4.amazonaws.com",6,4
"s3.dualstack.ap-southeast-5.amazonaws.com",PRIVATE,"*.s3.dualstack.ap-southeast-5.amazonaws.com",6,4
"s3.dualstack.ap-southeast-5.amazonaws.com",PRIVATE,"s3.dualstack.ap-southeast-5.amazonaws.com",6,4
"s3-accesspoint.dualstack.ap-southeast-5.amazonaws.com",PRIVATE,"*.s3-accesspoint.dualstack.ap-southeast-5.amazonaws.com",6,4
"s3-accesspoint.dualstack.ap-southeast-5.amazonaws.com",PRIVATE,"s3-accesspoint.dualstack.ap-southeast-5.amazonaws.com",6,4
"s3-website.dualstack.ap-southeast-5.amazonaws.com",PRIVATE,"*.s3-website.dualstack.ap-southeast-5.amazonaws.com",6,4
"s3-website.dualstack.ap-southeast-5.amazonaws.com",PRIVATE,"s3-website.dualstack.ap-southeast-5.amazonaws.com",6,4
"s3.dualstack.ca-central-1.amazonaws.com",PRIVATE,"*.s3.dualstack.ca-central-1.amazonaws.com",6,4
"s3.dualstack.ca-central-1.amazonaws.com",PRIVATE,"s3.dualstack.ca-central-1.amazonaws.com",6,4
"s3-accesspoint.dualstack.ca-central-1.amazonaws.com",PRIVATE,"*.s3-accesspoint.dualstack.ca-central-1.amazonaws.com",6,4
"s3-accesspoint.dualstack.ca-central-1.amazonaws.com",PRIVATE,"s3-accesspoint.dualstack.ca-central-1.amazonaws.com",6,4
"s3-accesspoint-fips.dualstack.ca-central-1.amazonaws.com",PRIVATE,"*.s3-accesspoint-fips.dualstack.ca-central-1.amazonaws.com",6,4
"s3-accesspoint-fips.dualstack.ca-central-1.amazonaws.com",PRIVATE,"s3-accesspoint-fips.dualstack.ca-central-1.amazonaws.com",6,4
"s3-fips.dualstack.ca-central-1.amazonaws.com",PRIVATE,"*.s3-fips.dualstack.ca-central-1.amazonaws.com",6,4
"s3-fips.dualstack.ca-central-1.amazonaws.com",PRIVATE,"s3-fips.dualstack.ca-central-1.amazonaws.com",6,4
"s3-website.dualstack.ca-central-1.amazonaws.com",PRIVATE,"*.s3-website.dualstack.ca-central-1.amazonaws.com",6,4
"s3-website.dualstack.ca-central-1.amazonaws.com",PRIVATE,"s3-website.dualstack.ca-central-1.amazonaws.com",6,4
"s3.dualstack.ca-west-1.amazonaws.com",PRIVATE,"*.s3.dualstack.ca-west-1.amazonaws.com",6,4
"s3.dualstack.ca-west-1.amazonaws.com",PRIVATE,"s3.dualstack.ca-west-1.amazonaws.com",6,4
